"","Group","Ciutat.Vella","Eixample","Sants.Motjuic","Les.Corts","Sarria.Sant.Gervasi","Gracia","Horta.Guinardo","Nou.Barris","Sant.Andreu","Sant.Marti","Year","Order"
"11","50-54",20,47,40,29,11,16,27,40,33,27,2016,11
"12","55-59",31,66,58,53,15,31,24,36,55,38,2016,12
"13","60-64",44,68,109,59,29,52,45,73,47,54,2016,13
"14","65-69",45,121,124,116,30,62,63,75,90,72,2016,14
"15","70-74",63,165,179,109,56,95,63,125,114,108,2016,15
"16","75-79",71,182,230,159,70,115,107,184,184,133,2016,16
"17","80-84",121,378,390,284,110,202,191,321,319,203,2016,17
"18","85-89",161,440,581,342,176,308,281,379,367,264,2016,18
"19","90-94",124,327,594,300,147,313,235,397,274,254,2016,19
"20","95-99",54,136,245,98,81,131,100,137,84,83,2016,20
"21","100+",14,27,51,19,11,34,33,33,12,22,2016,21
"111","50-54",29,32,30,14,23,22,35,37,27,40,2015,11
"121","55-59",39,65,51,16,37,33,45,37,39,62,2015,12
"131","60-64",31,79,62,30,38,47,60,59,46,69,2015,13
"141","65-69",61,117,94,39,63,64,79,92,85,113,2015,14
"151","70-74",58,162,106,47,77,72,106,106,94,138,2015,15
"161","75-79",78,236,157,63,105,89,181,179,131,192,2015,16
"171","80-84",148,386,284,141,211,171,296,333,213,353,2015,17
"181","85-89",158,583,402,172,293,270,424,383,279,500,2015,18
"191","90-94",128,624,302,150,328,259,360,295,220,366,2015,19
"201","95-99",48,314,108,54,147,126,126,83,84,127,2015,20
"211","100+",15,64,33,21,38,40,38,19,26,29,2015,21
